index,feature_id,name_jp,description,type
199,Column_199,薬剤 4291500,YJコード: 4291500 の投与量,numerical
200,Column_200,薬剤 4291501,YJコード: 4291501 の投与量,numerical
201,Column_201,薬剤 4299002,YJコード: 4299002 の投与量,numerical
202,Column_202,薬剤 4299003,YJコード: 4299003 の投与量,numerical
203,Column_203,薬剤 4299100,YJコード: 4299100 の投与量,numerical
204,Column_204,薬剤 4299400,YJコード: 4299400 の投与量,numerical
205,Column_205,薬剤 4299404,YJコード: 4299404 の投与量,numerical
206,Column_206,薬剤 4299406,YJコード: 4299406 の投与量,numerical
207,Column_207,薬剤 4900402,YJコード: 4900402 の投与量,numerical
208,Column_208,薬剤 4900404,YJコード: 4900404 の投与量,numerical
209,Column_209,薬剤 6391700,YJコード: 6391700 の投与量,numerical
210,Column_210,薬剤 6399402,YJコード: 6399402 の投与量,numerical
211,Column_211,薬剤 6399413,YJコード: 6399413 の投与量,numerical
212,Column_212,薬剤 6399421,YJコード: 6399421 の投与量,numerical
213,Column_213,薬剤 6399423,YJコード: 6399423 の投与量,numerical
214,Column_214,薬剤 6399424,YJコード: 6399424 の投与量,numerical
215,Column_215,薬剤 6399425,YJコード: 6399425 の投与量,numerical
216,Column_216,薬剤 6399427,YJコード: 6399427 の投与量,numerical
217,Column_217,薬剤 6399429,YJコード: 6399429 の投与量,numerical
218,Column_218,予防的G-CSF使用量,TOTAL_GLAS_PREDOSE (G-CSF製剤の使用量),numerical
219,Column_219,性別,"0: 女性, 1: 男性",binary
220,Column_220,診断名 C,診断コード: C,binary
221,Column_221,診断名 C00,診断コード: C00,binary
222,Column_222,診断名 C01,診断コード: C01,binary
223,Column_223,診断名 C02,診断コード: C02,binary
224,Column_224,診断名 C03,診断コード: C03,binary
225,Column_225,診断名 C04,診断コード: C04,binary
226,Column_226,診断名 C05,診断コード: C05,binary
227,Column_227,診断名 C06,診断コード: C06,binary
228,Column_228,診断名 C07,診断コード: C07,binary
229,Column_229,診断名 C08,診断コード: C08,binary
230,Column_230,診断名 C09,診断コード: C09,binary
231,Column_231,診断名 C10,診断コード: C10,binary
232,Column_232,診断名 C11,診断コード: C11,binary
233,Column_233,診断名 C12,診断コード: C12,binary
234,Column_234,診断名 C13,診断コード: C13,binary
235,Column_235,診断名 C15,診断コード: C15,binary
236,Column_236,診断名 C16,診断コード: C16,binary
237,Column_237,診断名 C17,診断コード: C17,binary
238,Column_238,診断名 C18,診断コード: C18,binary
239,Column_239,診断名 C19,診断コード: C19,binary
240,Column_240,診断名 C20,診断コード: C20,binary
241,Column_241,診断名 C21,診断コード: C21,binary
242,Column_242,診断名 C22,診断コード: C22,binary
243,Column_243,診断名 C23,診断コード: C23,binary
244,Column_244,診断名 C24,診断コード: C24,binary
245,Column_245,診断名 C25,診断コード: C25,binary
246,Column_246,診断名 C26,診断コード: C26,binary
247,Column_247,診断名 C30,診断コード: C30,binary
248,Column_248,診断名 C31,診断コード: C31,binary
249,Column_249,診断名 C32,診断コード: C32,binary
250,Column_250,診断名 C33,診断コード: C33,binary
251,Column_251,診断名 C34,診断コード: C34,binary
252,Column_252,診断名 C37,診断コード: C37,binary
253,Column_253,診断名 C38,診断コード: C38,binary
254,Column_254,診断名 C40,診断コード: C40,binary
255,Column_255,診断名 C41,診断コード: C41,binary
256,Column_256,診断名 C42,診断コード: C42,binary
257,Column_257,診断名 C44,診断コード: C44,binary
258,Column_258,診断名 C47,診断コード: C47,binary
259,Column_259,診断名 C48,診断コード: C48,binary
260,Column_260,診断名 C49,診断コード: C49,binary
261,Column_261,診断名 C50,診断コード: C50,binary
262,Column_262,診断名 C51,診断コード: C51,binary
263,Column_263,診断名 C52,診断コード: C52,binary
264,Column_264,診断名 C53,診断コード: C53,binary
265,Column_265,診断名 C54,診断コード: C54,binary
266,Column_266,診断名 C56,診断コード: C56,binary
267,Column_267,診断名 C57,診断コード: C57,binary
268,Column_268,診断名 C58,診断コード: C58,binary
269,Column_269,診断名 C60,診断コード: C60,binary
270,Column_270,診断名 C61,診断コード: C61,binary
271,Column_271,診断名 C62,診断コード: C62,binary
272,Column_272,診断名 C63,診断コード: C63,binary
273,Column_273,診断名 C64,診断コード: C64,binary
274,Column_274,診断名 C65,診断コード: C65,binary
